developer,dilution,film,temp_c,t_min_minutes,t_max_minutes,notes
Tetenal Ultrafin T-Plus,1+4,Fomapan 100 Classic,20,4.5,5,
Foma Universal,1+3,Fomapan 200 Creative,20,3.5,3.5,
Fomadon Excel,Stock,Fomapan 200 Creative,20,6,7,
Fomadon LQN,1+10,Fomapan 200 Creative,20,5,6,
Fomadon LQN,1+14,Fomapan 200 Creative,20,7,8,
Fomadon LQR,1+10,Fomapan 200 Creative,20,5,6,
Fomadon LQR,1+14,Fomapan 200 Creative,20,7,8,
Fomadon P,Stock,Fomapan 200 Creative,20,5,6,
Fomadon R09,1+25,Fomapan 200 Creative,20,5,5,medium contrast g=0.65
Fomadon R09,1+50,Fomapan 200 Creative,20,10,10,medium contrast g=0.65
Fomadon R09,1+100,Fomapan 200 Creative,20,24,26,
Ilford ID-11,1+1,Fomapan 200 Creative,20,8,9,
Ilford ID-11,1+3,Fomapan 200 Creative,20,12,13,
Ilford ID-11 / Kodak D-76,Stock,Fomapan 200 Creative,20,5,6,
Ilford Ilfosol S,1+9,Fomapan 200 Creative,20,3.5,3.5,
Ilford Ilfosol S,1+14,Fomapan 200 Creative,20,5,6,
Ilford Microphen,Stock,Fomapan 200 Creative,20,5,6,
Ilford Microphen,1+3,Fomapan 200 Creative,20,12,13,
Ilford Perceptol,Stock,Fomapan 200 Creative,20,6,6,
Ilford Perceptol,1+1,Fomapan 200 Creative,20,7.5,7.5,
Ilford Perceptol,1+3,Fomapan 200 Creative,20,12,13,
Kodak T-MAX Developer,1+4,Fomapan 200 Creative,20,5,6,
Kodak XTOL,Stock,Fomapan 200 Creative,20,6,7,
Retro Special Developer,Stock,Fomapan 200 Creative,20,3,4,
Tetenal Emofin,Liquid,Fomapan 200 Creative,20,4,5,
Tetenal Emofin,Powder,Fomapan 200 Creative,20,6,8,
Tetenal Ultrafin Liquid,1+20,Fomapan 200 Creative,20,7.5,7.5,
Tetenal Ultrafin Plus,1+4,Fomapan 200 Creative,20,5,5,
Tetenal Ultrafin Plus,1+6,Fomapan 200 Creative,20,7,8,
Tetenal Ultrafin T-Plus,1+4,Fomapan 200 Creative,20,6,6.5,
Foma Universal,1+3,Fomapan 400 Action,20,7.5,7.5,
Fomadon Excel,Stock,Fomapan 400 Action,20,7,7,
Fomadon LQN,1+10,Fomapan 400 Action,20,9,10,
Fomadon LQN,1+14,Fomapan 400 Action,20,12,13,
Fomadon LQR,1+10,Fomapan 400 Action,20,7,8,
Fomadon LQR,1+14,Fomapan 400 Action,20,9,10,
Fomadon P,Stock,Fomapan 400 Action,20,10,11,
Fomadon R09,1+25,Fomapan 400 Action,20,6,6,medium contrast g=0.65
Fomadon R09,1+50,Fomapan 400 Action,20,12,12,medium contrast g=0.65
Fomadon R09,1+100,Fomapan 400 Action,20,32,34,
Ilford ID-11,1+1,Fomapan 400 Action,20,12,13,
Ilford ID-11,1+3,Fomapan 400 Action,20,22,23,
Ilford ID-11 / Kodak D-76,Stock,Fomapan 400 Action,20,7,8,
Ilford Ilfosol S,1+9,Fomapan 400 Action,20,6,6,
Ilford Ilfosol S,1+14,Fomapan 400 Action,20,11,12,
Ilford Microphen,Stock,Fomapan 400 Action,20,8,9,
Ilford Microphen,1+1,Fomapan 400 Action,20,12,13,
Ilford Microphen,1+3,Fomapan 400 Action,20,24,25,
Ilford Perceptol,Stock,Fomapan 400 Action,20,9,10,
Kodak HC-110,1+31 (Dil.B),Fomapan 400 Action,20,6.5,6.5,
Kodak T-MAX Developer,1+4,Fomapan 400 Action,20,7,8,
Kodak XTOL,Stock,Fomapan 400 Action,20,7,7,
Retro Special Developer,Stock,Fomapan 400 Action,20,3,4,
Tetenal Emofin,Liquid,Fomapan 400 Action,20,6,7,
Tetenal Emofin,Powder,Fomapan 400 Action,20,6,8,
Tetenal Ultrafin Liquid,1+20,Fomapan 400 Action,20,15,15,
Tetenal Ultrafin Plus,1+4,Fomapan 400 Action,20,7,8,
Tetenal Ultrafin Plus,1+6,Fomapan 400 Action,20,11,12,
Tetenal Ultrafin T-Plus,1+4,Fomapan 400 Action,20,7.5,8,
Fomadon LQR,1+10,Retropan 320 Soft,20,9,10,
Fomadon LQR,1+14,Retropan 320 Soft,20,12,13,
Fomadon R09,1+25,Retropan 320 Soft,20,7,8,medium contrast g=0.65
Fomadon R09,1+50,Retropan 320 Soft,20,14,16,medium contrast g=0.65
Retro Special Developer,Stock,Retropan 320 Soft,20,4,5,
